"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr1311","Tullie House Museum Natural History Collections","doi:10.15468/epewfs","Records provided by Tullie House Museum Natural History Collections, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email nature@tulliehouse.co.uk, or https://registry.nbnatlas.org/public/show/dr1311","","","","16"
"dp123","North East Scotland Biological Records Centre","","Records provided by North East Scotland Biological Records Centre, accessed through NBN Atlas website.","","For more information:  email nesbrec@aberdeenshire.gov.uk, or https://registry.nbnatlas.org/public/show/dp123","","","","2"
"dp102","Cumbria Biodiversity Data Centre","","Records provided by Cumbria Biodiversity Data Centre, accessed through NBN Atlas website.","","For more information:  email info@cbdc.org.uk, or https://registry.nbnatlas.org/public/show/dp102","","","","36"
"dr2449","British bird eggs in the collections of World Museum, National Museums Liverpool","10.15468/n75arp","World Museum, National Museums Liverpool ([Insert year of download). British bird eggs in the collections of World Museum, National Museums Liverpool.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2449","","","","6"
"dr528","Birds (BTO+partners) to 2005","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr528","","","","1620"
"dp109","Lancashire Environment Record Network","","Records provided by Lancashire Environment Record Network, accessed through NBN Atlas website.","","For more information:  email lern@lancashire.gov.uk, or https://registry.nbnatlas.org/public/show/dp109","","","","14"
"dp205","Project Splatter","","Records provided by Project Splatter, accessed through NBN Atlas website.","","For more information:  email projectsplatter@gmail.com, or https://registry.nbnatlas.org/public/show/dp205","","","","4"
"dp0","Royal Society for the Protection of Birds","","Records provided by Royal Society for the Protection of Birds, accessed through NBN Atlas website.","","For more information:  email Dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dp0","","","","4"
"dr2370","Birds (BTO/JNCC/RSPB partnership)","","Records provided by BTO, accessed through NBN Atlas website","Open Government Licence (OGL)","For more information:  https://registry.nbnatlas.org/public/show/dr2370","","","","1494"
"dr1164","LERN Records","doi:10.15468/esxc9a","Records provided by LERN Records, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email lern@lancashire.gov.uk, or https://registry.nbnatlas.org/public/show/dr1164","","","","14"
"dp199","Environmental Records Information Centre North East","","Records provided by Environmental Records Information Centre North East, accessed through NBN Atlas website.","","For more information:  email eric.ne@twmuseums.org.uk, or https://registry.nbnatlas.org/public/show/dp199","","","","46"
"dp210","The British Association for Shooting and Conservation","","Records provided by The British Association for Shooting and Conservation, accessed through NBN Atlas website.","","For more information:  email ian.danby@basc.org.uk, or https://registry.nbnatlas.org/public/show/dp210","","","","1"
"dr478","RSPB Reserves breeding bird surveys","doi:10.15468/ssn1l9","Data reproduced with the permission of RSPB","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dr478","","","","4"
"dr2417","British bird study skins in the collections of World Museum, National Museums Liverpool","10.15468/tekr68","World Museum, National Museums Liverpool (2020). British bird study skins in the collections of World Museum, National Museums Liverpool.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2417","","","","1"
"dr1628","UK Roadkill Records","doi:10.15468/r3xakd","UK Roadkill Records, Project Splatter (2020)","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1628","Project Splatter has been actively collecting roadkill records since the beginning of 2013, but some records may fall before this. Records before 2013 will only be sporadic records, however. The majority of records have an exact date of that the animal was found on (DD/MM/YYYY). Some records, however, do not have a date associated with the record. In these instances, the cell is left blank.","Additional information about the Project, and links to social media pages, can be found at www.projectsplatter.co.uk . Project Splatter is also available to answer any questions about the database.","","4"
"dp29","British Trust for Ornithology","","Records provided by British Trust for Ornithology, accessed through NBN Atlas website.","","For more information:  email info@bto.org, or https://registry.nbnatlas.org/public/show/dp29","","","","15361"
"dp116","National Trust","","Records provided by National Trust, accessed through NBN Atlas website.","","For more information:  email gordon.barker@nationaltrust.org.uk, or https://registry.nbnatlas.org/public/show/dp116","","","","79"
